urn,successes,failures
urn:cite2:hmt:msA.v1:31v,3,7
urn:cite2:hmt:msA.v1:36v,1,8
urn:cite2:hmt:msA.v1:49v,6,1
urn:cite2:hmt:msA.v1:76r,3,2
urn:cite2:hmt:msA.v1:80v,8,2
urn:cite2:hmt:msA.v1:81r,6,4
urn:cite2:hmt:msA.v1:81v,0,1
urn:cite2:hmt:msA.v1:82r,7,1
urn:cite2:hmt:msA.v1:82v,5,1
urn:cite2:hmt:msA.v1:83r,9,8
urn:cite2:hmt:msA.v1:83v,8,3
urn:cite2:hmt:msA.v1:84r,5,3
urn:cite2:hmt:msA.v1:84v,5,1
urn:cite2:hmt:msA.v1:86v,4,2
urn:cite2:hmt:msA.v1:91v,4,2
urn:cite2:hmt:msA.v1:95r,2,0
urn:cite2:hmt:msA.v1:112r,6,6
urn:cite2:hmt:msA.v1:114r,6,8
urn:cite2:hmt:msA.v1:114v,5,9
urn:cite2:hmt:msA.v1:115r,0,8
urn:cite2:hmt:msA.v1:116r,6,10
urn:cite2:hmt:msA.v1:116v,5,5
urn:cite2:hmt:msA.v1:117r,2,0
urn:cite2:hmt:msA.v1:117v,2,2
urn:cite2:hmt:msA.v1:118v,2,7
urn:cite2:hmt:msA.v1:120r,1,5
urn:cite2:hmt:msA.v1:121v,3,6
urn:cite2:hmt:msA.v1:124r,0,6
urn:cite2:hmt:msA.v1:164v,7,2
urn:cite2:hmt:msA.v1:165v,4,0
urn:cite2:hmt:msA.v1:166v,8,4
urn:cite2:hmt:msA.v1:168r,4,0
urn:cite2:hmt:msA.v1:168v,3,1
urn:cite2:hmt:msA.v1:169r,4,0
urn:cite2:hmt:msA.v1:176r,6,3
urn:cite2:hmt:msA.v1:182r,3,2
urn:cite2:hmt:msA.v1:182v,4,3
urn:cite2:hmt:msA.v1:183r,8,1
urn:cite2:hmt:msA.v1:187v,4,1
urn:cite2:hmt:msA.v1:191v,7,0
urn:cite2:hmt:msA.v1:195r,5,1
urn:cite2:hmt:msA.v1:195v,4,1
urn:cite2:hmt:msA.v1:198r,4,1
urn:cite2:hmt:msA.v1:200v,4,2
urn:cite2:hmt:msA.v1:202v,2,0
urn:cite2:hmt:msA.v1:203v,3,4
urn:cite2:hmt:msA.v1:204r,6,1
urn:cite2:hmt:msA.v1:216r,5,1
urn:cite2:hmt:msA.v1:216v,3,1
urn:cite2:hmt:msA.v1:217v,2,1
urn:cite2:hmt:msA.v1:219r,6,0
urn:cite2:hmt:msA.v1:221r,4,0
urn:cite2:hmt:msA.v1:221v,1,1
urn:cite2:hmt:msA.v1:223r,0,1
urn:cite2:hmt:msA.v1:242v,4,2
urn:cite2:hmt:msA.v1:258v,2,1
urn:cite2:hmt:msA.v1:259v,5,0
urn:cite2:hmt:msA.v1:271v,4,0
urn:cite2:hmt:msA.v1:273v,6,0
urn:cite2:hmt:msA.v1:274r,6,2
urn:cite2:hmt:msA.v1:275r,2,1
urn:cite2:hmt:msA.v1:275v,5,4
urn:cite2:hmt:msA.v1:276r,7,1
urn:cite2:hmt:msA.v1:276v,5,2
urn:cite2:hmt:msA.v1:277r,3,0
urn:cite2:hmt:msA.v1:278r,3,1
urn:cite2:hmt:msA.v1:278v,6,4
urn:cite2:hmt:msA.v1:279r,3,2
urn:cite2:hmt:msA.v1:279v,6,0
urn:cite2:hmt:msA.v1:280r,2,1
urn:cite2:hmt:msA.v1:280v,5,3
urn:cite2:hmt:msA.v1:286v,2,1
urn:cite2:hmt:msA.v1:293r,4,2
urn:cite2:hmt:msA.v1:293v,3,3
urn:cite2:hmt:msA.v1:297r,6,0
urn:cite2:hmt:msA.v1:300r,2,1
urn:cite2:hmt:msA.v1:303r,4,1
urn:cite2:hmt:msA.v1:303v,2,1
urn:cite2:hmt:msA.v1:304v,1,3
urn:cite2:hmt:msA.v1:305v,3,0
urn:cite2:hmt:msA.v1:311v,4,3
urn:cite2:hmt:msA.v1:312r,7,0
urn:cite2:hmt:msA.v1:316r,7,0
urn:cite2:hmt:msA.v1:318r,1,2
urn:cite2:hmt:msA.v1:318v,2,2
urn:cite2:hmt:msA.v1:321v,5,3
urn:cite2:hmt:msA.v1:326v,2,0